Time (s),x,y,z
6826.308,0.156877336,-0.32749144,0.419830738
6838.73,0.157059672,-0.32733086,0.417189452
6851.144,0.15715084,-0.32721616,0.415133261
6863.558,0.157128048,-0.32728498,0.415551186
6875.972,0.15715084,-0.32730792,0.415735073
6888.386,0.157310384,-0.32705558,0.412843032
6900.808,0.157629472,-0.32694088,0.410335482
6913.222,0.157469928,-0.32698676,0.410368916
6925.636,0.157515512,-0.32696382,0.410853709
6938.058,0.157629472,-0.32694088,0.410001142
6950.472,0.157766224,-0.3267803,0.407694196
6962.886,0.157697848,-0.32694088,0.409432764
6975.3,0.157538304,-0.32721616,0.412542126
6987.722,0.157242008,-0.32733086,0.415183412
7000.136,0.157105256,-0.32739968,0.416554206
7012.55,0.157059672,-0.32749144,0.417523792
7024.964,0.157242008,-0.32728498,0.415200129
7037.386,0.157355968,-0.32721616,0.41408009
7049.8,0.157583888,-0.32707852,0.411789861
7062.214,0.157561096,-0.32698676,0.41023518
7074.628,0.157561096,-0.32703264,0.41073669
7087.042,0.15760668,-0.32707852,0.411137898
7099.464,0.157401552,-0.32719322,0.413060353
7111.878,0.157333176,-0.32710146,0.412859749
7124.3,0.157538304,-0.326895,0.410636388
7136.714,0.157583888,-0.32684912,0.409081707
7149.128,0.15749272,-0.32682618,0.408764084
7161.542,0.157538304,-0.32671148,0.408045253
7173.956,0.157447136,-0.32680324,0.408680499
7186.378,0.157401552,-0.32682618,0.408780801
7198.792,0.157515512,-0.32673442,0.407192686
7211.206,0.157515512,-0.3266656,0.406306685
7223.62,0.157515512,-0.32675736,0.407426724
7236.042,0.15749272,-0.32675736,0.407343139
7248.456,0.157583888,-0.3267803,0.407660762
7260.87,0.157538304,-0.3267803,0.407326422
7273.285,0.157629472,-0.32668854,0.406089364
7285.706,0.157424344,-0.32682618,0.407794498
7298.12,0.157538304,-0.32684912,0.407761064
7310.535,0.157583888,-0.32687206,0.407476875
7322.949,0.157583888,-0.32682618,0.407426724
7335.37,0.157743432,-0.32668854,0.405136495
7347.785,0.15772064,-0.32661972,0.404016456
7360.199,0.157697848,-0.32671148,0.404869023
7372.613,0.157652264,-0.32680324,0.406156232
7385.027,0.157469928,-0.32691794,0.408095404
7397.449,0.157538304,-0.32680324,0.407359856
7409.863,0.157583888,-0.3267803,0.40672461
7422.277,0.15760668,-0.32684912,0.407159252
7434.691,0.157401552,-0.32687206,0.408346159
7447.113,0.157561096,-0.32675736,0.407075667
7459.527,0.157333176,-0.32661972,0.406122798
7471.941,0.15737876,-0.32657384,0.405437401
7484.355,0.157287592,-0.32657384,0.405454118
7496.769,0.157173632,-0.3266656,0.406624308
7509.183,0.157242008,-0.32659678,0.406423704
7521.605,0.157196424,-0.32659678,0.406139515
7534.019,0.157355968,-0.3265509,0.405186646
7546.441,0.157652264,-0.32636738,0.402495209
7558.847,0.157583888,-0.32634444,0.401943548
7571.261,0.1572648,-0.32664266,0.406005779
7583.683,0.15715084,-0.32668854,0.407042233
